1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.452931	0.000000	0.572061	0.026177	1279.8
1	-0.405247	0.000000	0.572061	0.051231	3.1
2	-0.444258	0.061764	0.570384	0.097557	1.4
3	-0.450446	0.000000	0.572061	0.068644	1.6
4	-0.429516	0.000000	0.572061	0.101430	1.5
5	-0.420101	0.000000	0.572061	0.055810	1.3
6	-0.406897	0.899378	0.548568	0.045620	1.7
7	-0.450179	0.543579	0.557627	0.072711	1.3
8	-0.464935	1.543578	0.532892	0.068133	1.3
9	-0.429968	0.572291	0.556885	0.080704	1.3
10	-0.440367	1.570360	0.532259	0.074517	1.3
11	-0.462497	2.570220	0.509681	0.032426	1.2
12	-0.433826	1.671641	0.529882	0.033673	1.4
13	-0.432886	0.973333	0.546721	0.078902	1.3
14	-0.438969	0.028778	0.571278	0.043900	1.2
15	-0.437242	1.028743	0.545346	0.051665	1.3
16	-0.436463	0.052862	0.570625	0.082839	1.3
17	-0.469154	1.052861	0.544750	0.053183	1.2
18	-0.447882	0.117627	0.568875	0.067550	1.2
19	-0.470520	1.071442	0.544291	0.043487	1.2
20	-0.458595	2.071442	0.520699	0.031524	1.2
21	-0.441473	1.182985	0.541554	0.067804	1.2
22	-0.462372	0.207420	0.566466	0.038488	2.9
23	-0.440032	0.000000	0.572061	0.070876	1.5
24	-0.432338	0.000000	0.572061	0.056910	2.1
25	-0.445112	0.905386	0.548417	0.025498	1.3
26	-0.435759	0.000000	0.572061	0.081419	1.4
27	-0.439190	0.998713	0.546090	0.076374	1.3
28	-0.440291	0.022828	0.571440	0.056796	1.3
29	-0.461882	0.000000	0.572061	0.071591	1.5
30	-0.447728	0.000000	0.572061	0.059166	1.3
31	-0.444042	0.000000	0.572061	0.027252	1.3
32	-0.460486	0.000000	0.572061	0.038897	1.2
33	-0.457825	0.565236	0.557067	0.079227	1.3
34	-0.452666	0.000000	0.572061	0.038091	1.2
35	-0.454485	0.817911	0.550616	0.065359	1.3
36	-0.434669	0.000000	0.572061	0.057540	1.2
37	-0.453929	0.998255	0.546102	0.035879	1.2
38	-0.436199	0.136015	0.568380	0.056426	1.3
39	-0.429578	0.000000	0.572061	0.033468	1.2
40	-0.456411	0.000000	0.572061	0.070547	1.2
41	-0.446259	0.000000	0.572061	0.051965	1.3
42	-0.468642	0.000000	0.572061	0.067656	1.3
43	-0.444246	0.972905	0.546732	0.039288	1.9
44	-0.470200	0.000444	0.572049	0.083717	1.2
45	-0.442505	0.990937	0.546284	0.038422	2.1
46	-0.449425	1.990936	0.522523	0.075620	1.6
47	-0.431855	2.956395	0.501465	0.036557	1.4
48	-0.447370	2.597255	0.509097	0.051006	1.8
49	-0.446391	3.593378	0.488477	0.023144	1.4
50	-0.452570	3.185408	0.496716	0.027432	1.3
51	-0.471968	3.532137	0.489696	0.050086	1.3
52	-0.451408	2.637961	0.508220	0.051345	1.3
53	-0.450783	1.869712	0.525292	0.061965	1.2
54	-0.441708	0.893827	0.548707	0.080284	1.2
55	-0.454846	0.000000	0.572061	0.054734	1.1
56	-0.424283	0.000000	0.572061	0.075207	1.2
57	-0.421106	1.000000	0.546059	0.063995	1.3
58	-0.442842	0.024115	0.571405	0.058273	1.3
59	-0.450037	0.000000	0.572061	0.034109	1.2
60	-0.473672	0.000000	0.572061	0.064265	1.3
61	-0.434299	0.999862	0.546062	0.034287	1.2
62	-0.457153	0.069153	0.570184	0.059355	1.1
63	-0.443695	0.000000	0.572061	0.070297	1.1
64	-0.432071	1.000000	0.546059	0.034373	1.4
65	-0.471093	1.997753	0.522368	0.035363	1.4
66	-0.464924	1.114741	0.543225	0.041253	2.6
67	-0.425511	2.011371	0.522059	0.059676	1.4
68	-0.460093	3.006489	0.500418	0.037255	1.4
69	-0.468217	2.079535	0.520517	0.046726	1.4
70	-0.431433	1.103738	0.543496	0.022063	1.2
71	-0.435432	1.958120	0.523270	0.033523	1.3
72	-0.447060	1.173607	0.541783	0.069241	1.3
73	-0.440833	1.949409	0.523468	0.050683	1.1
74	-0.446753	2.948805	0.501624	0.056552	1.3
75	-0.425686	1.972920	0.522933	0.039482	1.3
76	-0.472490	1.184942	0.541506	0.043951	1.2
77	-0.445946	2.177939	0.518307	0.089788	1.2
78	-0.446279	3.177881	0.496871	0.050330	1.2
79	-0.430969	2.201997	0.517770	0.084097	1.2
80	-0.448956	1.273791	0.539346	0.041824	1.2
81	-0.460014	0.297906	0.564060	0.050895	1.2
82	-0.428779	1.218783	0.540682	0.044354	1.2
83	-0.415998	0.242968	0.565518	0.086797	1.3
84	-0.461169	1.242951	0.540094	0.068297	1.2
85	-0.434129	2.242951	0.516857	0.050849	1.2
86	-0.434945	1.731294	0.528491	0.033775	1.2
87	-0.436288	1.109210	0.543361	0.082400	2.0
88	-0.443186	0.133525	0.568447	0.041391	1.9
89	-0.448517	0.000000	0.572061	0.043419	1.5
90	-0.444671	0.000000	0.572061	0.077864	1.4
91	-0.458560	0.997995	0.546108	0.098685	1.3
92	-0.454831	0.084302	0.569774	0.094940	1.3
93	-0.430567	0.000000	0.572061	0.082996	1.3
94	-0.472571	0.000000	0.572061	0.062267	1.2
95	-0.429056	0.000000	0.572061	0.045335	1.3
96	-0.442943	0.000000	0.572061	0.077828	1.2
97	-0.449250	0.999991	0.546059	0.125214	1.2
98	-0.490474	1.999991	0.522317	0.038890	1.3
99	-0.440291	1.024130	0.545460	0.035381	1.3
100	-0.431633	1.982587	0.522713	0.085723	1.3
101	-0.442480	1.158308	0.542157	0.068680	1.3
102	-0.449049	2.158308	0.518746	0.053562	1.2
103	-0.455208	2.923393	0.502157	0.068479	1.2
104	-0.429123	3.576964	0.488803	0.103956	1.3
105	-0.435482	3.539061	0.489558	0.053323	1.2
106	-0.484403	4.539036	0.470389	0.047877	1.2
107	-0.447403	5.539019	0.452665	0.048861	1.4
108	-0.473320	4.564421	0.469922	0.046816	1.2
