1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.509653	0.000000	4.163786	0.030948	109.9
1	-0.486806	0.000000	4.163786	0.024069	1.4
2	-0.509594	1.000000	3.974523	0.026946	1.3
3	-0.486848	1.995758	3.802419	0.018057	1.7
4	-0.502533	2.995741	3.643960	0.020743	1.2
5	-0.483294	3.445384	3.576933	0.010216	1.2
6	-0.506606	4.433838	3.437921	0.029321	1.1
7	-0.523924	3.525972	3.565180	0.023625	1.2
8	-0.529849	4.525972	3.425512	0.013261	1.4
9	-0.495651	3.618458	3.551787	0.024174	1.6
10	-0.502287	2.911799	3.656752	0.017473	1.5
11	-0.535731	3.911555	3.509998	0.022771	1.2
12	-0.510371	3.020296	3.640235	0.020893	1.2
13	-0.530278	4.020296	3.494743	0.020057	1.3
14	-0.483709	3.112430	3.626325	0.030319	1.1
15	-0.489615	2.222103	3.765357	0.024241	1.1
16	-0.482847	1.314237	3.918553	0.018818	1.1
17	-0.519568	1.733704	3.846250	0.026246	1.2
18	-0.516685	2.732300	3.684410	0.012848	1.1
19	-0.522820	3.732295	3.535439	0.023549	1.1
20	-0.508507	4.732295	3.398046	0.015569	1.1
21	-0.508290	5.732293	3.270932	0.019391	1.1
22	-0.498225	4.830729	3.385097	0.020187	1.3
23	-0.510384	5.825710	3.259541	0.023634	1.1
24	-0.485647	6.297907	3.203158	0.011773	1.1
25	-0.475339	7.297828	3.089973	0.023208	1.1
26	-0.480320	8.297828	2.984505	0.025028	1.6
27	-0.505868	9.297828	2.885999	0.019169	1.4
28	-0.514760	10.297828	2.793789	0.022359	1.5
29	-0.518413	9.389962	2.877250	0.013647	1.1
30	-0.484523	10.075985	2.813733	0.028476	1.1
31	-0.537978	11.075942	2.726015	0.020991	1.1
32	-0.503970	10.168075	2.805419	0.019164	1.1
33	-0.478521	11.166119	2.718373	0.016678	1.5
34	-0.506598	12.166119	2.636411	0.011936	1.3
35	-0.520224	11.258330	2.710603	0.026974	1.2
36	-0.549056	10.350471	2.789097	0.016020	1.7
37	-0.488749	9.442604	2.872274	0.012872	1.2
38	-0.510260	8.544476	2.959589	0.028671	1.1
39	-0.484538	7.964650	3.018835	0.032673	1.3
40	-0.523977	7.056784	3.116520	0.026212	1.3
41	-0.515456	6.148917	3.220737	0.021022	1.1
42	-0.498744	7.148917	3.106319	0.020979	1.1
43	-0.505406	8.148227	2.999823	0.038593	1.2
44	-0.513818	9.148227	2.900320	0.014481	1.2
45	-0.499156	10.148227	2.807207	0.021514	1.1
46	-0.521238	11.148215	2.719887	0.015954	1.2
47	-0.488275	10.240350	2.798929	0.019116	1.1
48	-0.509736	11.188943	2.716446	0.017769	1.1
49	-0.515962	11.051079	2.728130	0.020139	1.1
50	-0.510015	10.289861	2.794500	0.025820	1.2
51	-0.487079	11.289861	2.707956	0.020084	1.2
52	-0.506777	10.381995	2.786296	0.021892	1.1
53	-0.516925	11.381965	2.700253	0.024581	1.2
54	-0.487277	12.371693	2.620170	0.029825	1.2
55	-0.527795	13.371693	2.543940	0.029619	1.1
56	-0.503445	14.371693	2.472019	0.017408	1.1
57	-0.539376	13.920281	2.503975	0.021550	1.3
58	-0.515116	13.741543	2.516857	0.020014	1.3
59	-0.489443	12.833751	2.584387	0.028631	1.2
60	-0.509622	11.926434	2.655602	0.016602	1.5
61	-0.496199	11.244807	2.711739	0.023101	1.1
62	-0.519947	10.817816	2.748131	0.021402	1.2
63	-0.490925	9.928587	2.827142	0.017728	1.2
64	-0.482168	9.020724	2.912638	0.012542	1.1
65	-0.486679	9.341743	2.881822	0.018786	1.1
66	-0.506086	10.337445	2.790257	0.015608	1.2
67	-0.488678	10.892154	2.741725	0.014881	1.2
68	-0.515871	11.479684	2.692129	0.037585	1.1
