1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.660070	0.000000	3773.383230	0.002954	1650.0
1	-0.628064	0.000000	3773.383230	0.002398	5.1
2	-0.659314	0.999949	3601.874107	0.002359	5.1
3	-0.656395	1.999948	3445.270730	0.002305	5.2
4	-0.660626	2.999948	3301.717472	0.002422	5.1
5	-0.664738	3.999948	3169.648499	0.002347	5.1
6	-0.686025	4.999948	3047.738697	0.002196	5.1
7	-0.683900	5.999948	2934.859269	0.002285	5.1
8	-0.665991	5.316314	3011.099819	0.002121	5.4
9	-0.652421	6.316314	2900.868994	0.002582	5.2
10	-0.670922	5.555175	2984.015301	0.002367	5.5
11	-0.655686	6.555175	2875.722927	0.002235	5.2
12	-0.676639	7.545501	2775.955771	0.002286	5.0
13	-0.673116	8.545501	2682.000492	0.001993	5.0
14	-0.679328	7.784440	2752.912606	0.002195	5.4
15	-0.661225	7.023301	2827.684251	0.002404	5.0
16	-0.667542	6.280789	2904.646435	0.002902	5.4
17	-0.662654	5.519650	2988.012537	0.002383	5.5
18	-0.671334	6.519650	2879.435121	0.002271	5.2
19	-0.637537	7.357466	2794.362764	0.002606	5.5
20	-0.656577	6.596327	2871.434566	0.002066	5.6
21	-0.662190	7.596327	2771.021861	0.002400	5.1
22	-0.663831	8.596327	2677.394640	0.002667	5.3
23	-0.660856	9.596327	2589.887580	0.002278	5.3
24	-0.668007	10.596327	2507.919586	0.002759	5.3
25	-0.676588	11.596327	2430.980869	0.002289	5.0
26	-0.692181	12.596327	2358.622338	0.002510	4.9
27	-0.681654	11.835216	2413.294518	0.002829	5.0
28	-0.643355	12.835216	2341.969586	0.001967	5.7
29	-0.649842	13.835216	2274.739644	0.002128	5.5
30	-0.660265	14.835216	2211.261881	0.001908	8.7
31	-0.647446	14.074077	2259.248255	0.002023	6.5
32	-0.649091	13.312938	2309.363524	0.002715	5.9
33	-0.672705	14.312938	2243.966431	0.002000	6.1
34	-0.642071	15.282118	2184.024861	0.002173	5.4
35	-0.661560	16.282118	2125.443831	0.002164	5.7
36	-0.678478	15.520981	2169.740411	0.002408	5.3
37	-0.674084	14.820814	2212.150928	0.001877	5.2
38	-0.672399	15.819917	2152.124586	0.002232	5.2
39	-0.684239	16.819704	2095.231842	0.002256	5.3
40	-0.672628	17.819704	2041.258431	0.002233	5.7
41	-0.666550	18.819704	1989.995909	0.002475	5.3
