1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
1033	-0.529058	60.706313	568.337609	0.007981	24.8
1034	-0.514970	59.738886	575.147529	0.009563	25.2
1035	-0.532472	58.771458	582.122623	0.008356	25.0
1036	-0.518331	59.771458	574.915591	0.010828	25.0
1037	-0.533532	60.771458	567.884830	0.010220	27.9
1038	-0.549720	59.804034	574.683819	0.006745	28.1
1039	-0.554241	58.836606	581.647603	0.007931	29.8
1040	-0.524629	58.396635	584.870766	0.008066	29.4
1041	-0.562905	58.534244	583.858831	0.007370	29.6
1042	-0.539499	59.534244	576.609010	0.011832	29.2
1043	-0.525765	60.534244	569.537024	0.006380	26.0
1044	-0.545874	59.567146	576.373532	0.006906	29.0
1045	-0.528952	58.599721	583.378560	0.009381	31.4
1046	-0.540617	59.599721	576.140588	0.009810	28.0
1047	-0.511481	58.632303	583.139865	0.010754	29.1
1048	-0.543309	57.672278	590.255826	0.006888	28.7
1049	-0.532983	56.711146	597.556114	0.008051	28.5
1050	-0.515231	57.710976	589.965633	0.008441	29.5
1051	-0.547940	58.710976	582.564323	0.007664	29.5
1052	-0.542439	57.743950	589.718585	0.009923	30.7
1053	-0.519882	56.776522	597.053830	0.010155	28.5
1054	-0.537930	55.811057	604.558411	0.009446	28.8
1055	-0.530281	54.850226	612.216638	0.008269	29.5
1056	-0.535633	53.883581	620.119525	0.007765	28.6
1057	-0.534165	52.916158	628.235721	0.010128	28.8
1058	-0.536737	53.345143	624.610682	0.007817	28.4
1059	-0.518404	54.344972	616.322093	0.006335	28.1
1060	-0.522963	55.344972	608.249235	0.010106	28.4
1061	-0.527620	54.377544	616.055764	0.008704	28.6
1062	-0.511764	53.410130	624.065169	0.012288	28.1
1063	-0.542388	54.409890	615.791519	0.009024	26.4
1064	-0.524293	55.409888	607.732482	0.007933	29.7
1065	-0.536555	54.442460	615.525667	0.010260	30.4
1066	-0.531547	54.156509	617.867581	0.007903	35.2
1067	-0.514037	54.702043	613.415023	0.010422	31.0
1068	-0.522689	53.734616	621.355575	0.006572	32.9
1069	-0.521495	53.252337	625.391371	0.006909	30.3
1070	-0.518961	54.246570	617.128073	0.007520	26.8
1071	-0.538960	53.279150	625.165618	0.007392	28.7
1072	-0.542511	54.258218	617.032552	0.008857	28.6
1073	-0.528333	53.469411	623.568392	0.007383	27.3
1074	-0.536176	54.469407	615.305886	0.007495	27.7
1075	-0.530562	53.561367	622.799348	0.008225	26.6
1076	-0.535837	54.561361	614.557100	0.007852	27.7
1077	-0.569774	53.593934	622.527438	0.009269	26.3
1078	-0.531622	54.106594	618.278209	0.008482	25.3
1079	-0.533576	53.140243	626.336910	0.011234	26.4
1080	-0.536408	54.140243	618.001338	0.009105	25.3
1081	-0.501273	54.982071	611.154318	0.007005	25.9
1082	-0.539718	54.014643	619.036078	0.007349	24.8
1083	-0.535539	55.014641	610.892453	0.007755	24.7
1084	-0.526636	54.074256	618.544537	0.010541	24.6
1085	-0.521666	53.107375	626.614700	0.010959	24.8
1086	-0.526974	54.107375	618.271781	0.009778	25.1
1087	-0.532952	53.782340	620.959051	0.005608	24.9
1088	-0.537802	52.814935	629.097220	0.009779	24.9
1089	-0.541411	51.852614	637.407060	0.007084	26.9
1090	-0.512158	52.851252	628.787862	0.008822	26.6
1091	-0.528571	51.883865	637.133753	0.006020	28.5
1092	-0.523051	52.883865	628.510304	0.010246	31.9
1093	-0.550630	53.852937	620.373391	0.007788	27.2
1094	-0.509965	52.887716	628.477546	0.009172	28.4
1095	-0.540640	53.887716	620.085281	0.007490	29.6
1096	-0.529375	54.887716	611.914192	0.006923	28.3
1097	-0.548258	54.528337	614.825807	0.006643	28.3
1098	-0.516933	55.510428	606.933878	0.008579	29.1
1099	-0.520120	56.510428	599.103527	0.008411	28.0
1100	-0.531302	57.267918	593.305303	0.010794	28.9
1101	-0.549089	56.300490	600.730609	0.008853	27.9
1102	-0.551472	55.335782	608.322459	0.009185	26.3
1103	-0.526988	56.335782	600.456470	0.010393	27.0
1104	-0.526013	57.335779	592.791327	0.009115	27.6
1105	-0.531752	56.505968	599.138000	0.007062	29.4
1106	-0.522620	57.505345	591.510941	0.008733	28.3
1107	-0.513367	56.537955	598.890835	0.007973	31.7
1108	-0.548523	55.587207	606.325419	0.007359	27.9
1109	-0.536770	56.587207	598.510659	0.007218	28.6
1110	-0.533346	57.551416	591.164017	0.008521	27.1
1111	-0.542604	58.551416	583.732798	0.009437	24.5
1112	-0.522637	57.584152	590.917752	0.007823	24.7
1113	-0.533839	58.584152	583.492684	0.007551	25.5
1114	-0.531452	59.581094	576.273767	0.009386	24.7
1115	-0.547343	58.613667	583.276372	0.009787	25.2
1116	-0.528651	57.646239	590.451254	0.007149	24.6
1117	-0.546416	56.678812	597.804851	0.009120	24.9
1118	-0.539019	55.711385	605.343925	0.010378	24.7
1119	-0.528900	54.744080	613.074587	0.009618	25.0
1120	-0.534858	53.776655	621.006256	0.009171	24.7
1121	-0.545190	52.820240	629.052014	0.007362	28.0
1122	-0.532181	52.898810	628.383201	0.007336	29.8
1123	-0.548552	53.898804	619.993487	0.006703	29.6
1124	-0.535465	52.931377	628.106395	0.010147	28.0
1125	-0.525700	53.931377	619.723973	0.008178	27.0
1126	-0.531314	52.963950	627.829786	0.010250	28.9
1127	-0.558673	53.963950	619.454696	0.008887	27.7
1128	-0.533979	54.907911	611.751395	0.010912	27.3
1129	-0.502296	55.620491	606.062032	0.007767	28.5
