1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.591017	0.000000	2441.746884	0.003005	1920.6
1	-0.616715	0.000000	2441.746884	0.003486	5.9
2	-0.588407	1.000000	2330.758389	0.003667	5.5
3	-0.602379	2.000000	2229.421068	0.003516	5.5
4	-0.589559	3.000000	2136.528523	0.002731	6.0
5	-0.589636	2.155187	2214.479351	0.003918	5.3
6	-0.577889	3.155187	2122.802176	0.002813	5.4
7	-0.596968	2.310621	2199.713360	0.003003	5.5
8	-0.588248	3.310621	2109.229725	0.002675	5.4
9	-0.600118	2.465809	2185.165897	0.003365	5.4
10	-0.599091	3.465809	2095.850807	0.003309	5.4
11	-0.595288	4.403513	2018.487899	0.003363	5.5
12	-0.575326	5.403513	1942.040198	0.003239	5.7
13	-0.574678	6.397969	1871.550570	0.002756	5.9
14	-0.598543	7.397969	1805.646189	0.002751	5.7
15	-0.605800	6.558860	1860.624297	0.002903	5.8
16	-0.579339	7.558860	1795.473787	0.002667	5.8
17	-0.587799	6.714048	1850.205551	0.003543	5.4
18	-0.614543	5.870924	1908.259092	0.002850	5.8
19	-0.594856	6.853059	1840.971403	0.003439	5.6
20	-0.602651	6.948138	1834.708415	0.003081	5.5
21	-0.588289	7.948138	1771.329264	0.003164	5.4
22	-0.589353	8.947347	1712.227951	0.003443	5.2
23	-0.594981	9.947347	1656.900819	0.002842	5.2
24	-0.571479	9.102534	1703.400908	0.002501	5.4
25	-0.572169	8.257722	1752.586364	0.003468	5.5
26	-0.590260	9.257722	1694.664411	0.003242	5.5
27	-0.598784	10.257722	1640.448546	0.002815	5.5
28	-0.604502	11.257722	1589.594101	0.002929	5.7
29	-0.599048	10.421078	1631.919982	0.002678	5.8
30	-0.587846	11.421078	1581.584827	0.002819	5.6
31	-0.588138	12.421078	1534.261852	0.002816	5.9
32	-0.581463	11.576397	1574.044094	0.002973	5.7
33	-0.594718	12.576397	1527.164611	0.003088	5.5
34	-0.605708	13.576397	1482.996775	0.002551	5.6
35	-0.591631	12.731591	1520.138328	0.004117	5.5
36	-0.591528	11.886779	1559.188424	0.003857	5.7
37	-0.584978	11.041966	1600.297696	0.002554	5.9
38	-0.601559	12.041966	1551.865418	0.002847	5.7
39	-0.578046	13.041966	1506.278586	0.002757	6.9
40	-0.616269	13.860203	1470.923271	0.002784	5.3
41	-0.597633	14.860203	1429.905008	0.002661	5.2
42	-0.596632	14.029277	1463.823643	0.003512	5.3
43	-0.597626	15.029277	1423.194917	0.002753	5.4
44	-0.608681	14.299882	1452.602150	0.004194	5.7
45	-0.590798	13.456072	1488.175564	0.002980	5.6
46	-0.571186	14.456072	1446.203189	0.003312	5.9
