1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.639702	0.000000	8.827667	0.022803	53.1
1	-0.632456	0.000000	8.827667	0.021951	1.3
2	-0.647545	0.000000	8.827667	0.022511	1.1
3	-0.615621	0.000000	8.827667	0.023765	1.2
4	-0.651487	0.000000	8.827667	0.017633	1.3
5	-0.631072	0.000000	8.827667	0.020251	1.2
6	-0.629228	0.000000	8.827667	0.017775	1.2
7	-0.633873	0.000000	8.827667	0.017604	1.1
8	-0.649040	0.000000	8.827667	0.015996	1.1
9	-0.670526	0.000000	8.827667	0.019174	1.1
10	-0.678903	0.000000	8.827667	0.015198	1.1
11	-0.618330	0.000000	8.827667	0.009660	2.8
12	-0.650608	0.000000	8.827667	0.012180	1.2
13	-0.612566	0.000000	8.827667	0.010045	1.2
14	-0.641094	0.000000	8.827667	0.010858	1.1
15	-0.656111	0.000000	8.827667	0.013281	1.1
16	-0.681232	0.000000	8.827667	0.010570	1.1
17	-0.686708	0.000000	8.827667	0.014363	1.1
18	-0.655804	0.000000	8.827667	0.015194	1.1
19	-0.662566	0.000000	8.827667	0.013198	1.1
20	-0.668940	0.000000	8.827667	0.008741	1.1
21	-0.660109	0.000000	8.827667	0.015711	1.1
22	-0.663174	0.000000	8.827667	0.011527	1.1
23	-0.670610	0.000000	8.827667	0.007326	1.8
24	-0.666447	0.000000	8.827667	0.009404	1.1
25	-0.653680	0.000000	8.827667	0.010275	1.1
26	-0.643192	0.000000	8.827667	0.011908	1.4
27	-0.661354	0.000000	8.827667	0.012932	1.2
28	-0.676374	0.000000	8.827667	0.010797	1.1
29	-0.680060	0.000000	8.827667	0.013110	1.2
30	-0.645549	0.000000	8.827667	0.010978	1.1
31	-0.663548	0.000000	8.827667	0.011344	1.1
32	-0.633364	0.000000	8.827667	0.011017	1.2
33	-0.677361	0.000000	8.827667	0.014014	1.1
34	-0.690677	0.000000	8.827667	0.010418	1.1
35	-0.618432	0.000000	8.827667	0.007135	1.1
36	-0.639821	0.000000	8.827667	0.013942	1.2
37	-0.664249	0.000000	8.827667	0.011234	1.4
38	-0.689490	0.000000	8.827667	0.009732	1.5
39	-0.717927	0.000000	8.827667	0.013326	1.3
40	-0.653463	0.038860	8.811362	0.012602	1.4
41	-0.661306	0.000000	8.827667	0.014163	1.3
42	-0.685606	0.000000	8.827667	0.013275	1.1
43	-0.665769	0.000000	8.827667	0.013316	1.1
44	-0.679296	0.000000	8.827667	0.016816	1.2
45	-0.664663	0.000000	8.827667	0.007716	1.1
46	-0.664004	0.000000	8.827667	0.011314	1.1
47	-0.691519	0.000000	8.827667	0.012316	1.1
48	-0.699262	0.000000	8.827667	0.011873	1.1
49	-0.634857	0.000000	8.827667	0.009767	1.1
50	-0.671052	0.000000	8.827667	0.013670	1.1
51	-0.640161	0.000000	8.827667	0.009212	1.1
52	-0.639152	0.000000	8.827667	0.010657	1.1
53	-0.715647	0.000000	8.827667	0.012451	2.6
54	-0.664281	0.000000	8.827667	0.009908	1.4
55	-0.677542	0.000000	8.827667	0.010967	1.4
56	-0.667399	0.000000	8.827667	0.008818	1.5
57	-0.696346	0.000000	8.827667	0.013347	1.4
58	-0.647734	0.000000	8.827667	0.010943	1.2
59	-0.682634	0.000000	8.827667	0.012673	1.4
60	-0.672746	0.000000	8.827667	0.009115	1.1
61	-0.659979	0.000000	8.827667	0.009955	1.1
62	-0.668217	0.000000	8.827667	0.017543	1.1
63	-0.698894	0.998981	8.426800	0.011253	1.1
64	-0.682009	0.814734	8.497972	0.012309	1.1
65	-0.661079	0.630488	8.570357	0.008840	1.2
66	-0.684514	0.446241	8.643986	0.008033	1.1
67	-0.687826	0.262025	8.718878	0.009482	1.1
