1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.433807	0.000000	1.376384	0.021015	367.4
1	-0.454554	0.000000	1.376384	0.034473	1.2
2	-0.487886	0.999849	1.313830	0.035456	3.5
3	-0.470940	1.999849	1.256707	0.039231	1.3
4	-0.481976	2.999186	1.204377	0.053634	1.1
5	-0.449348	2.040791	1.254474	0.040296	3.8
6	-0.453740	1.082396	1.308919	0.015675	1.4
7	-0.433287	2.073531	1.252694	0.025885	1.3
8	-0.497669	1.463960	1.286686	0.035558	1.2
9	-0.474076	0.515251	1.343422	0.030250	1.3
10	-0.434544	1.510331	1.284036	0.036024	1.2
11	-0.482661	0.710086	1.331366	0.033635	1.3
12	-0.477484	0.000000	1.376384	0.045475	1.3
13	-0.448526	0.000000	1.376384	0.026074	1.3
14	-0.435325	0.949760	1.316828	0.033226	1.2
15	-0.482411	0.000000	1.376384	0.036727	1.2
16	-0.467530	1.000000	1.313821	0.033120	1.1
17	-0.506444	0.041656	1.373659	0.023982	1.1
18	-0.479333	1.006565	1.313429	0.043056	1.2
19	-0.466882	2.006457	1.256346	0.055039	1.2
20	-0.462356	3.004289	1.204121	0.027861	1.1
21	-0.445372	2.048986	1.254028	0.038141	1.1
22	-0.465601	2.864345	1.211182	0.048037	1.3
23	-0.472311	1.905951	1.261858	0.025339	1.4
24	-0.463361	1.014613	1.312949	0.016498	1.2
25	-0.459397	1.318661	1.295063	0.046582	1.3
26	-0.486433	0.360282	1.353169	0.046161	2.3
27	-0.474404	0.000000	1.376384	0.048060	1.4
28	-0.482239	0.999978	1.313822	0.026975	1.3
29	-0.474645	0.042463	1.373607	0.033850	1.2
30	-0.478598	1.038791	1.311509	0.041452	1.2
31	-0.468085	0.080438	1.371132	0.040220	1.1
32	-0.475500	0.000000	1.376384	0.023942	1.1
33	-0.482336	0.000000	1.376384	0.026014	1.2
34	-0.462478	0.999422	1.313856	0.023893	1.2
35	-0.460537	0.761703	1.328208	0.031019	1.6
36	-0.440838	0.000000	1.376384	0.029662	1.3
37	-0.481253	0.000000	1.376384	0.038107	1.3
38	-0.466972	1.000000	1.313821	0.033476	1.2
39	-0.472829	0.041605	1.373663	0.028958	1.4
40	-0.493321	0.000000	1.376384	0.019515	1.2
41	-0.469368	0.543615	1.341653	0.030301	1.1
42	-0.475080	1.504149	1.284388	0.021924	1.3
43	-0.482159	2.503077	1.229799	0.009825	1.1
44	-0.474687	2.511643	1.229351	0.031590	1.2
45	-0.476188	1.697493	1.273447	0.026947	1.2
46	-0.466741	0.841376	1.323363	0.034337	1.2
47	-0.475394	1.598657	1.279017	0.023704	1.3
48	-0.469114	2.046733	1.254150	0.047398	1.3
49	-0.466016	3.046727	1.201996	0.020341	1.4
50	-0.483919	2.088332	1.251891	0.032505	1.3
51	-0.488824	1.503080	1.284449	0.030025	1.7
52	-0.472645	1.256315	1.298691	0.028164	1.2
53	-0.454190	0.298069	1.357121	0.029788	1.3
54	-0.469730	0.968760	1.315689	0.026412	1.2
55	-0.447621	0.012221	1.375584	0.030314	1.1
56	-0.470117	0.000000	1.376384	0.037702	1.2
57	-0.451657	0.000000	1.376384	0.030995	1.3
58	-0.469241	0.000000	1.376384	0.034798	1.1
59	-0.467236	1.000000	1.313821	0.037391	1.1
60	-0.456277	1.997272	1.256848	0.030556	1.2
61	-0.446003	2.997271	1.204473	0.029991	1.2
62	-0.425472	3.757937	1.167467	0.023112	1.1
63	-0.442651	2.799628	1.214476	0.029605	1.2
64	-0.474735	3.799366	1.165516	0.022284	1.3
65	-0.481754	2.949731	1.206864	0.032275	1.3
66	-0.443185	3.338680	1.187577	0.032747	1.4
67	-0.469736	4.270184	1.143801	0.065978	1.3
68	-0.458406	5.270184	1.100261	0.021490	1.5
69	-0.457085	4.311793	1.141921	0.025698	1.5
70	-0.474344	4.945949	1.114011	0.026906	1.3
71	-0.466639	4.018403	1.155312	0.030702	1.5
72	-0.493067	5.018403	1.110909	0.019609	1.5
73	-0.479777	4.072028	1.152841	0.027940	1.7
74	-0.459520	4.783673	1.121022	0.024091	1.5
75	-0.467342	5.779623	1.079331	0.047406	1.3
76	-0.469077	6.778232	1.040529	0.024902	1.2
77	-0.486993	5.819837	1.077712	0.045776	1.3
78	-0.452626	6.819836	1.038973	0.024352	1.2
79	-0.446655	7.611313	1.010232	0.035273	1.2
80	-0.464144	6.735701	1.042125	0.027509	1.5
81	-0.434778	5.777356	1.079422	0.035136	1.4
82	-0.453409	4.821050	1.119399	0.032223	1.4
83	-0.454714	3.862692	1.162548	0.030749	1.3
84	-0.457847	2.940646	1.207322	0.028258	1.3
85	-0.469421	1.982283	1.257667	0.050515	1.2
86	-0.493378	2.982283	1.205226	0.037267	1.3
87	-0.446488	3.982283	1.156983	0.048693	1.3
88	-0.458818	3.023969	1.203134	0.016252	1.3
89	-0.433023	3.775077	1.166659	0.025984	1.4
90	-0.458861	2.855462	1.211633	0.032396	2.9
91	-0.444250	2.999193	1.204377	0.032760	1.8
92	-0.496688	3.885948	1.161461	0.024144	1.4
93	-0.432681	4.575830	1.130132	0.026751	1.9
94	-0.472257	5.472117	1.091868	0.030305	1.3
95	-0.447872	4.515737	1.132794	0.031870	1.3
96	-0.466292	3.557728	1.176984	0.025310	1.3
97	-0.471749	4.054826	1.153633	0.036345	1.4
98	-0.500532	3.096630	1.199507	0.048522	1.4
99	-0.451132	2.138235	1.249191	0.020983	1.4
100	-0.447034	1.181396	1.303077	0.042335	1.4
101	-0.482230	2.181396	1.246865	0.021705	1.3
102	-0.468485	3.174346	1.195650	0.034367	1.3
103	-0.451157	2.222381	1.244664	0.033184	1.3
104	-0.469490	3.222381	1.193279	0.029065	1.3
105	-0.461544	4.222299	1.145973	0.023732	1.3
106	-0.497739	5.208037	1.102870	0.028323	1.3
107	-0.489477	4.249771	1.144726	0.060290	1.3
108	-0.461734	5.249511	1.101128	0.034625	1.3
109	-0.485439	6.249511	1.060719	0.026796	1.3
110	-0.452868	6.505757	1.050837	0.032065	1.7
111	-0.449083	7.484058	1.014745	0.028123	1.4
112	-0.456519	6.527952	1.049990	0.041347	1.6
113	-0.479543	7.527315	1.013207	0.032917	1.4
114	-0.451257	7.980730	0.997355	0.028108	1.4
115	-0.463325	7.025947	1.031332	0.018584	1.4
116	-0.444764	6.114875	1.065986	0.037324	1.3
117	-0.466924	6.413577	1.054370	0.037520	1.3
118	-0.463419	7.413568	1.017263	0.030104	1.4
119	-0.441531	6.473049	1.052088	0.015446	1.3
120	-0.462871	6.227508	1.061576	0.030999	1.4
121	-0.465370	7.179465	1.025714	0.018288	1.3
122	-0.461367	8.111385	0.992878	0.025714	1.3
123	-0.470981	7.630871	1.009542	0.043172	1.3
124	-0.476568	6.673207	1.044478	0.019366	1.3
125	-0.491260	5.714819	1.081949	0.029977	1.3
126	-0.477143	6.714805	1.042911	0.029870	1.3
127	-0.447618	7.714804	1.006591	0.028703	1.4
128	-0.481800	8.692478	0.973447	0.030443	1.3
129	-0.415197	9.692450	0.941732	0.026318	1.6
130	-0.478704	8.829262	0.968984	0.021899	1.3
131	-0.446017	9.826656	0.937632	0.029000	1.9
132	-0.497297	10.821202	0.908327	0.022011	1.6
133	-0.465043	11.563551	0.887620	0.033326	1.4
134	-0.488169	12.540076	0.861777	0.023940	1.5
135	-0.430569	11.581721	0.887125	0.034671	1.5
136	-0.485401	12.581697	0.860709	0.026332	1.4
137	-0.451408	11.627219	0.885888	0.021181	1.4
138	-0.484679	12.626855	0.859553	0.023012	1.3
139	-0.456786	13.626060	0.834749	0.042274	1.3
140	-0.463849	14.498494	0.814234	0.029851	1.4
141	-0.439475	15.472829	0.792482	0.024144	1.3
142	-0.473796	14.514622	0.813864	0.038059	1.3
143	-0.501301	14.400032	0.816498	0.034578	1.4
144	-0.466722	15.399150	0.794086	0.033483	1.6
145	-0.485967	14.442784	0.815513	0.047752	2.0
146	-0.472658	15.442784	0.793135	0.034671	2.0
147	-0.468068	14.723973	0.809094	0.052556	1.4
148	-0.449356	13.765578	0.831399	0.028589	1.3
149	-0.483354	12.807191	0.854968	0.036046	1.4
150	-0.461747	12.156260	0.871753	0.024791	1.5
151	-0.479965	13.152544	0.846322	0.023787	1.5
152	-0.477761	14.141723	0.822500	0.015865	3.0
153	-0.458209	14.924188	0.804585	0.045322	1.4
154	-0.478027	13.965807	0.826638	0.031164	1.3
155	-0.483929	13.028064	0.849418	0.033304	1.3
156	-0.464342	12.069670	0.874035	0.025320	1.3
157	-0.450090	11.114936	0.900019	0.034565	1.5
158	-0.459769	10.249126	0.924956	0.024722	1.3
159	-0.463617	11.249121	0.896275	0.020982	1.4
160	-0.451313	12.077379	0.873832	0.021261	1.4
161	-0.478358	13.062140	0.848569	0.032653	1.3
162	-0.473081	12.135588	0.872297	0.033734	1.3
163	-0.471093	13.135578	0.846743	0.030643	1.3
164	-0.479117	12.177183	0.871203	0.038499	1.4
165	-0.474155	12.348034	0.866740	0.037570	1.3
166	-0.446826	13.348013	0.841506	0.026843	1.3
167	-0.461102	12.799355	0.855166	0.051615	1.3
168	-0.462657	13.799355	0.830592	0.019057	1.3
169	-0.443281	14.548386	0.813091	0.026340	1.3
170	-0.470333	15.450160	0.792975	0.025293	1.3
171	-0.461292	14.885004	0.805464	0.029738	1.3
172	-0.469009	13.992445	0.826009	0.032356	1.5
173	-0.482669	13.368858	0.840996	0.041460	2.4
174	-0.448000	12.410464	0.865120	0.030726	1.3
175	-0.500946	11.452069	0.890669	0.046702	1.3
176	-0.494122	12.452069	0.864044	0.042568	1.4
177	-0.441152	11.652224	0.885210	0.028312	2.1
178	-0.444906	10.778082	0.909560	0.025636	1.4
179	-0.440052	9.819690	0.937844	0.022883	1.3
180	-0.440453	10.692156	0.912026	0.023697	1.3
181	-0.479639	9.768584	0.939402	0.052965	1.3
182	-0.456456	8.810853	0.969582	0.021779	1.3
183	-0.431418	9.797088	0.938532	0.026189	1.3
184	-0.471031	9.042642	0.962101	0.039969	1.3
185	-0.486271	8.084250	0.993805	0.036450	1.3
186	-0.455739	9.084250	0.960771	0.025965	1.3
187	-0.457940	8.125877	0.992384	0.036023	1.4
188	-0.472631	7.167596	1.026146	0.026426	1.3
189	-0.461446	7.529757	1.013120	0.021178	1.3
190	-0.464765	8.435521	0.981945	0.031340	1.3
191	-0.469526	7.477160	1.014991	0.030885	1.3
192	-0.464287	8.477160	0.980558	0.041132	1.3
193	-0.476343	7.541131	1.012716	0.030120	1.6
194	-0.454671	8.308072	0.986215	0.022770	1.4
195	-0.445954	9.307454	0.953695	0.042253	1.4
196	-0.450439	10.307413	0.923234	0.026587	1.3
197	-0.438952	10.036750	0.931285	0.025545	1.3
198	-0.479404	9.493033	0.947891	0.031513	1.4
199	-0.462650	10.491574	0.917835	0.014308	1.4
200	-0.491533	11.426669	0.891367	0.024965	1.3
201	-0.481797	12.382005	0.865858	0.035309	2.1
202	-0.492427	13.378521	0.840759	0.020738	1.3
203	-0.459065	14.239872	0.820209	0.034956	1.3
204	-0.471362	14.179889	0.821608	0.024280	1.4
205	-0.466292	13.238583	0.844196	0.022748	1.3
206	-0.469443	13.120001	0.847130	0.031818	1.3
207	-0.471482	12.741795	0.856625	0.034815	1.3
208	-0.433802	12.555167	0.861389	0.029426	1.3
209	-0.464778	13.541098	0.836802	0.042912	1.4
210	-0.471590	14.540893	0.813262	0.040249	1.3
211	-0.436433	13.582498	0.835800	0.037917	1.3
212	-0.487441	14.582498	0.812311	0.020495	1.4
213	-0.465877	13.661373	0.833898	0.031053	1.5
214	-0.459854	12.703013	0.857611	0.040599	1.5
215	-0.455924	11.744620	0.882712	0.039456	1.4
216	-0.423828	10.786346	0.909323	0.028003	1.4
217	-0.471681	9.847870	0.936987	0.027810	1.3
218	-0.468909	8.907294	0.966455	0.037045	1.4
219	-0.429736	8.293915	0.986692	0.039729	1.6
220	-0.467359	9.286230	0.954363	0.026113	1.4
221	-0.448731	10.236063	0.925343	0.025773	1.8
222	-0.455620	9.540132	0.946429	0.017838	1.3
223	-0.480137	9.610469	0.944254	0.030909	1.4
224	-0.490173	10.609851	0.914401	0.050469	1.4
225	-0.455848	9.651456	0.942992	0.029115	1.5
226	-0.465212	8.693919	0.973400	0.029979	1.6
227	-0.453563	9.649452	0.943053	0.039236	1.4
228	-0.453189	10.606387	0.914501	0.029403	1.4
229	-0.466582	9.647998	0.943098	0.025873	1.3
230	-0.460020	10.645287	0.913377	0.034979	1.3
231	-0.442820	9.686963	0.941900	0.042475	1.4
232	-0.475607	10.686947	0.912176	0.031889	1.3
233	-0.445915	11.686944	0.884269	0.016378	1.3
234	-0.467934	12.396941	0.865470	0.021684	1.3
235	-0.457858	13.356809	0.841291	0.048469	2.5
236	-0.481241	14.356590	0.817501	0.026641	1.4
237	-0.441538	15.356586	0.795016	0.041960	1.5
238	-0.451600	14.402832	0.816434	0.034936	1.4
239	-0.474184	15.402748	0.794008	0.023243	1.5
240	-0.425849	16.402737	0.772779	0.037059	1.5
241	-0.508063	15.444558	0.793097	0.020316	1.4
242	-0.442401	16.209828	0.776786	0.034418	1.3
243	-0.471480	15.279166	0.796713	0.034066	1.4
244	-0.491715	14.320771	0.818331	0.045946	1.6
245	-0.461779	13.370594	0.840953	0.030354	1.6
246	-0.447663	12.412205	0.865075	0.037095	1.4
247	-0.462371	13.289172	0.842950	0.027605	1.5
248	-0.463499	12.330783	0.867188	0.040668	1.3
249	-0.477608	13.069723	0.848380	0.053172	1.4
250	-0.459183	12.114063	0.872864	0.033967	1.3
251	-0.458185	11.155669	0.898879	0.032504	1.3
252	-0.477818	10.353452	0.921878	0.029724	1.3
253	-0.471159	9.395156	0.950943	0.036207	1.3
254	-0.449353	9.892390	0.935637	0.028138	1.3
255	-0.461138	10.892039	0.906310	0.037319	1.3
256	-0.426799	11.892038	0.878756	0.029142	1.5
257	-0.490830	10.948353	0.904712	0.021030	2.5
258	-0.459231	11.061943	0.901507	0.037027	1.3
259	-0.465161	10.103686	0.929281	0.025330	1.4
260	-0.460750	9.292545	0.954164	0.029907	1.4
261	-0.466496	8.402334	0.983053	0.019651	1.3
262	-0.475564	9.399645	0.950803	0.030846	1.3
263	-0.474134	8.894681	0.966863	0.033776	1.3
264	-0.442133	9.894583	0.935571	0.028491	1.6
265	-0.458426	10.867780	0.907000	0.039107	1.3
266	-0.475060	9.909385	0.935123	0.035933	1.4
267	-0.484204	10.900703	0.906064	0.024868	1.3
268	-0.453443	9.942311	0.934128	0.023206	1.3
269	-0.477634	10.941601	0.904903	0.050762	1.3
270	-0.447047	11.773445	0.881936	0.029106	1.3
271	-0.496029	12.773445	0.855822	0.036653	1.4
272	-0.461029	11.815085	0.880816	0.023247	1.3
273	-0.455981	10.857942	0.907280	0.038431	1.3
274	-0.442460	9.924435	0.934668	0.024751	1.3
275	-0.477679	10.924434	0.905390	0.036300	1.3
276	-0.473209	11.924400	0.877892	0.040537	1.3
277	-0.444629	11.016828	0.902777	0.037171	1.6
278	-0.478247	10.058436	0.930635	0.037507	2.6
279	-0.469848	11.057866	0.901622	0.029610	1.5
280	-0.459932	11.551838	0.887940	0.027433	1.4
281	-0.455874	12.206340	0.870438	0.045676	1.3
282	-0.491229	13.203818	0.845054	0.025839	1.4
283	-0.445413	12.245423	0.869415	0.033180	1.4
284	-0.452495	11.287371	0.895213	0.042892	1.5
285	-0.468685	12.287371	0.868319	0.038874	1.3
286	-0.429256	11.390976	0.892349	0.023048	1.3
287	-0.492243	12.390951	0.865626	0.020307	1.5
288	-0.441185	11.546285	0.888091	0.030796	1.3
289	-0.448802	12.539707	0.861786	0.024373	1.4
290	-0.464170	13.500779	0.837780	0.019300	1.5
291	-0.476348	13.546934	0.836661	0.022332	1.2
292	-0.446438	12.702284	0.857629	0.019155	1.3
293	-0.472027	13.699259	0.832988	0.018943	1.4
294	-0.506618	12.817472	0.854708	0.024017	1.3
295	-0.460348	11.917937	0.878064	0.046028	1.4
296	-0.466127	12.917937	0.852176	0.044239	1.5
297	-0.475625	13.034432	0.849260	0.046557	1.4
298	-0.469612	14.031603	0.825085	0.042456	1.5
299	-0.473841	15.031603	0.802186	0.040546	1.6
300	-0.458865	14.073208	0.824107	0.044166	1.3
301	-0.439743	15.073208	0.801261	0.021050	1.3
302	-0.457789	16.073202	0.779648	0.032808	1.4
303	-0.467878	17.055862	0.759517	0.027627	1.4
304	-0.428725	18.055758	0.740072	0.035476	2.6
305	-0.465913	18.818719	0.725891	0.026509	1.6
306	-0.468117	17.885917	0.743304	0.015942	1.3
307	-0.492992	18.238019	0.736634	0.014950	1.3
308	-0.479354	19.216004	0.718720	0.026194	1.4
309	-0.470568	18.363013	0.734295	0.022175	1.3
310	-0.428389	19.362277	0.716116	0.029260	1.3
311	-0.452673	18.472547	0.732257	0.025823	1.4
312	-0.469273	17.690368	0.747061	0.029765	1.3
313	-0.504866	16.732062	0.766035	0.034383	1.3
314	-0.442774	15.773668	0.785999	0.028342	1.4
315	-0.438240	16.375484	0.773343	0.041012	1.3
316	-0.440628	17.375470	0.753191	0.025456	1.3
317	-0.477451	18.370041	0.734164	0.034854	1.4
318	-0.492484	19.005772	0.722497	0.017276	1.6
319	-0.463176	18.325792	0.734990	0.032579	1.5
320	-0.447178	17.368865	0.753321	0.028631	1.4
321	-0.473674	18.368865	0.734186	0.028458	1.5
322	-0.478060	19.368862	0.715999	0.021750	1.7
323	-0.454734	20.368653	0.698695	0.027198	1.5
324	-0.438278	21.365163	0.682260	0.032745	1.9
325	-0.478218	22.350964	0.666746	0.023104	1.5
326	-0.472035	23.350954	0.651712	0.035795	1.3
327	-0.464615	24.350191	0.637353	0.026975	1.4
328	-0.481151	25.285702	0.624471	0.018292	1.3
329	-0.444316	24.343075	0.637453	0.028940	1.4
330	-0.478568	23.386049	0.651197	0.024887	1.3
331	-0.461089	22.427666	0.665568	0.037828	1.3
332	-0.466210	23.426436	0.650605	0.024181	1.3
333	-0.459935	24.426169	0.636287	0.040301	1.4
334	-0.440651	25.420439	0.622658	0.027498	1.3
335	-0.453565	26.420439	0.609528	0.032840	1.3
336	-0.487507	27.420439	0.596939	0.016405	1.4
337	-0.456349	28.378095	0.585362	0.032428	1.3
338	-0.460242	27.728704	0.593163	0.032977	1.2
339	-0.454405	28.711652	0.581434	0.024653	1.6
340	-0.465215	29.711650	0.569969	0.028010	2.6
341	-0.458353	30.711006	0.558954	0.019936	1.4
342	-0.447971	31.613716	0.549364	0.020929	1.4
343	-0.469144	30.711808	0.558945	0.018274	1.5
344	-0.454355	31.660107	0.548880	0.045900	1.3
345	-0.440392	30.701761	0.559054	0.018890	1.4
346	-0.451842	31.084570	0.554945	0.024607	1.4
347	-0.477680	31.848118	0.546927	0.035978	1.5
348	-0.471112	30.899410	0.556925	0.041029	1.3
349	-0.440688	31.875959	0.546639	0.032257	1.4
350	-0.482015	32.875959	0.536493	0.038938	1.4
351	-0.523578	33.775032	0.527687	0.030674	1.5
352	-0.466753	34.730520	0.518640	0.031223	1.4
353	-0.454881	35.730517	0.509498	0.043953	1.3
354	-0.461468	34.772122	0.518253	0.041931	1.5
355	-0.485214	34.090954	0.524661	0.029674	1.5
356	-0.452502	33.132559	0.533950	0.029490	1.3
357	-0.470415	34.130507	0.524284	0.028233	1.3
358	-0.462682	35.130507	0.514944	0.023264	1.3
359	-0.483597	35.681069	0.509942	0.031987	1.3
360	-0.467677	36.450526	0.503112	0.032607	3.2
361	-0.467466	37.450511	0.494505	0.033000	1.3
362	-0.490446	36.492767	0.502743	0.062214	1.3
363	-0.472687	35.534372	0.511265	0.051901	1.3
364	-0.442270	34.575977	0.520082	0.018814	2.9
365	-0.474674	33.617599	0.529208	0.035691	1.6
366	-0.452871	33.919762	0.526296	0.027733	1.8
367	-0.453022	34.919761	0.516885	0.025806	1.4
368	-0.460230	35.919208	0.507809	0.040473	1.4
369	-0.461430	36.030378	0.506819	0.038454	6.0
370	-0.449995	37.030378	0.498085	0.038477	1.4
371	-0.473367	37.513970	0.493969	0.016446	1.4
372	-0.476435	36.555608	0.502194	0.029052	1.3
373	-0.453919	35.603545	0.510641	0.031978	1.3
374	-0.479751	36.152574	0.505735	0.029602	1.3
375	-0.483335	36.636794	0.501486	0.031525	1.3
376	-0.503576	35.696419	0.509804	0.026991	1.5
377	-0.478939	34.742941	0.518524	0.038383	1.4
378	-0.473312	35.742593	0.509389	0.031289	1.3
379	-0.488629	34.788802	0.518098	0.036808	1.3
380	-0.454384	33.836943	0.527091	0.025746	1.3
381	-0.472703	34.393225	0.521798	0.020862	2.6
382	-0.469635	34.722211	0.518717	0.022622	1.4
383	-0.493096	34.928245	0.516806	0.034267	1.4
384	-0.466227	35.928241	0.507728	0.033701	1.5
385	-0.487191	34.970208	0.516419	0.029632	1.3
386	-0.463456	35.962840	0.507420	0.025831	1.3
387	-0.462521	35.004448	0.516103	0.020456	1.5
388	-0.447411	34.084712	0.524720	0.024405	1.4
389	-0.471611	35.082678	0.515383	0.025921	1.3
390	-0.450074	36.081403	0.506366	0.032882	1.4
391	-0.471279	37.081322	0.497648	0.044034	1.3
392	-0.464834	36.123093	0.505996	0.034099	1.3
393	-0.485624	35.561001	0.511025	0.049505	1.4
394	-0.447109	36.195044	0.505360	0.035596	1.3
395	-0.477094	37.195044	0.496676	0.040043	1.3
396	-0.467753	36.236649	0.504992	0.039422	1.4
397	-0.488786	37.236649	0.496321	0.030815	2.7
398	-0.444593	38.236649	0.487942	0.031722	1.4
399	-0.460403	39.236647	0.479842	0.027719	1.5
400	-0.450595	38.283008	0.487561	0.023237	1.4
401	-0.466082	38.704450	0.484119	0.027719	2.4
402	-0.492845	39.699131	0.476186	0.028836	1.5
403	-0.447603	38.740765	0.483825	0.023482	1.3
404	-0.442565	37.782644	0.491711	0.029394	1.4
405	-0.486312	38.782088	0.483490	0.045427	1.4
406	-0.464978	37.823803	0.491367	0.025980	1.3
407	-0.456429	36.865409	0.499505	0.034515	1.4
408	-0.480893	37.756960	0.491926	0.031269	1.6
409	-0.490484	38.438842	0.486282	0.022327	1.3
410	-0.470116	39.434670	0.478270	0.030124	1.4
411	-0.446268	40.434647	0.470485	0.023784	1.3
412	-0.461806	39.476410	0.477940	0.033055	1.3
413	-0.476271	40.476402	0.470165	0.028755	1.3
414	-0.460807	39.518080	0.477610	0.035388	1.3
415	-0.447702	40.491665	0.470049	0.018515	1.4
416	-0.431608	40.585502	0.469332	0.033257	1.6
417	-0.470012	40.137222	0.472774	0.026249	1.6
418	-0.447207	39.193438	0.480186	0.026568	1.4
419	-0.448513	38.235156	0.487955	0.046270	1.3
420	-0.464634	37.526982	0.493859	0.034105	1.5
421	-0.485107	38.526982	0.485562	0.022014	1.4
422	-0.475303	39.525826	0.477549	0.034391	1.4
423	-0.438110	40.525251	0.469792	0.021440	1.4
424	-0.475450	39.570410	0.477198	0.019669	1.6
425	-0.476592	38.629716	0.484726	0.031233	1.4
426	-0.442694	38.055988	0.489435	0.030655	1.3
427	-0.432505	39.055548	0.481289	0.032433	1.4
428	-0.465354	38.097922	0.489088	0.039969	1.3
429	-0.452545	38.981459	0.481883	0.036189	1.4
430	-0.446460	39.880700	0.474766	0.015473	1.4
431	-0.451611	38.947536	0.482156	0.040778	1.4
432	-0.455648	39.876070	0.474802	0.024821	1.3
433	-0.452900	40.876069	0.467128	0.042170	1.3
434	-0.461236	41.876040	0.459699	0.036452	1.3
435	-0.467783	40.917645	0.466815	0.041455	1.3
436	-0.472414	39.959250	0.474154	0.027806	1.3
437	-0.502905	39.001242	0.481724	0.034103	1.6
438	-0.453272	38.042847	0.489544	0.028047	1.6
439	-0.478887	38.889115	0.482626	0.031454	1.4
440	-0.450573	39.889025	0.474701	0.025065	1.4
441	-0.439503	40.881803	0.467085	0.018188	1.3
442	-0.476408	39.939290	0.474309	0.037414	1.3
443	-0.453742	38.986064	0.481846	0.033198	1.4
444	-0.426773	39.973506	0.474043	0.034113	1.5
445	-0.474371	40.973506	0.466394	0.028248	1.4
446	-0.464019	41.755270	0.460584	0.028767	1.4
447	-0.467538	42.452714	0.455521	0.021195	1.3
448	-0.478896	42.568343	0.454693	0.023053	1.3
449	-0.482427	41.609999	0.461653	0.029234	1.3
450	-0.490868	42.583403	0.454585	0.044593	1.3
451	-0.463310	42.124823	0.457887	0.039270	1.4
