1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.578209	0.000000	3.580726	0.015752	66.0
1	-0.571591	0.000000	3.580726	0.012117	4.2
2	-0.603763	0.424145	3.509837	0.009863	1.4
3	-0.598863	1.026909	3.413790	0.013729	1.3
4	-0.587584	0.131501	3.558443	0.020220	1.3
5	-0.591998	0.000000	3.580726	0.012642	1.2
6	-0.583773	0.000000	3.580726	0.022889	1.2
7	-0.566067	0.000000	3.580726	0.019658	1.2
8	-0.576146	0.000000	3.580726	0.014974	1.2
9	-0.567274	0.000000	3.580726	0.015595	1.2
10	-0.607550	0.997627	3.418334	0.018113	1.4
11	-0.596177	1.866410	3.288459	0.027660	1.3
12	-0.579273	0.967765	3.422981	0.011158	1.7
13	-0.573756	0.069178	3.568969	0.017299	1.4
14	-0.587274	0.000000	3.580726	0.017930	1.8
15	-0.576615	0.998152	3.418253	0.015890	1.3
16	-0.604473	1.995603	3.269984	0.015585	1.3
17	-0.601098	1.097008	3.402961	0.018301	1.3
18	-0.585131	0.198455	3.547204	0.011629	1.4
19	-0.554647	0.000000	3.580726	0.022271	1.3
20	-0.556463	0.000000	3.580726	0.011322	1.2
21	-0.584754	0.152156	3.554968	0.017763	1.4
22	-0.585903	0.000000	3.580726	0.010045	1.3
23	-0.569782	0.000000	3.580726	0.021015	1.3
24	-0.572431	0.000000	3.580726	0.012321	1.4
25	-0.571857	0.999991	3.417967	0.016966	1.3
26	-0.561949	0.933114	3.428389	0.010825	1.4
27	-0.563397	0.054106	3.571524	0.016200	1.6
28	-0.573755	0.000000	3.580726	0.020102	1.3
29	-0.562169	0.000000	3.580726	0.010493	1.3
30	-0.569454	0.999480	3.418047	0.015501	1.3
31	-0.562022	0.296731	3.530835	0.013430	1.4
32	-0.588941	0.000000	3.580726	0.025561	1.3
33	-0.598840	0.999999	3.417966	0.018383	1.2
34	-0.583341	1.985084	3.271480	0.007379	1.3
35	-0.579606	1.101702	3.402238	0.015293	1.3
36	-0.594011	1.944146	3.277317	0.016838	1.3
37	-0.593184	1.045578	3.410899	0.020445	1.3
38	-0.563751	0.146935	3.555846	0.014376	1.4
39	-0.593017	0.000000	3.580726	0.019433	1.3
40	-0.588964	0.000000	3.580726	0.019075	1.3
41	-0.601489	0.999979	3.417969	0.017125	1.3
42	-0.574223	1.999084	3.269489	0.018975	1.3
43	-0.572237	2.997931	3.133405	0.015410	2.1
44	-0.559299	2.099293	3.255305	0.019396	1.4
45	-0.564490	3.088901	3.121572	0.017202	1.3
46	-0.597084	3.383109	3.083907	0.013821	1.3
47	-0.585741	4.102390	2.995541	0.013033	2.5
48	-0.600876	3.207506	3.106278	0.011823	1.7
49	-0.610478	2.647528	3.179835	0.018165	1.9
50	-0.589555	2.284384	3.229428	0.016206	1.4
51	-0.629117	1.385739	3.359069	0.011211	1.3
52	-0.564051	1.554940	3.333870	0.013498	1.4
53	-0.542719	0.769402	3.454172	0.010815	1.5
